State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Haryana,Panchkula,2007.0,N.A.,190.0,152.0,0.0,0.0,118.0,67.0,283.0,105.0,0.0,0.0,0.0,N.A.
Haryana,Panchkula,2008.0,9.0,0.0,0.0,5.0,8.5,101.0,120.5,209.5,121.0,7.0,0.0,0.0,581.5
Haryana,Panchkula,2009.0,2.0,7.6,0.0,4.5,11.5,5.5,97.8,75.4,183.4,11.8,0.0,0.0,399.5
Haryana,Panchkula,2010.0,0.3,6.3,0.0,0.0,2.8,48.3,252.0,159.3,229.4,0.0,0.0,9.0,707.4
Haryana,Panipat,2004.0,49.0,0.0,0.0,10.0,26.0,37.0,18.0,317.3,71.0,31.0,0.0,1.0,560.3
Haryana,Panipat,2005.0,17.0,13.0,40.0,0.0,0.0,16.0,108.5,71.0,290.0,0.0,0.0,0.0,555.5
Haryana,Panipat,2006.0,3.0,0.0,9.0,0.0,4.0,96.0,172.5,24.0,44.5,0.0,0.0,0.0,353.0
Haryana,Panipat,2007.0,0.0,51.8,15.0,0.0,7.0,61.0,44.5,41.5,69.5,0.0,0.0,0.0,290.3
Haryana,Panipat,2008.0,0.0,2.2,0.0,2.0,37.0,50.5,137.0,110.5,91.3,0.0,0.0,0.0,430.5
Haryana,Panipat,2009.0,0.0,N.A.,0.0,5.0,3.0,4.8,73.2,32.7,153.3,0.0,0.0,N.A.,N.A.
Haryana,Panipat,2010.0,0.0,0.0,N.A.,0.0,0.0,0.0,163.0,146.3,190.5,0.0,0.0,5.3,N.A.
Haryana,Rewari,2004.0,19.0,0.0,0.0,6.0,38.0,4.5,10.0,284.2,26.1,29.0,0.0,0.0,416.8
Haryana,Rewari,2005.0,0.0,80.0,11.0,0.0,32.0,64.5,306.5,20.0,114.0,0.0,0.0,0.0,628.0
Haryana,Rewari,2006.0,0.0,0.0,72.0,0.0,12.0,29.0,272.7,22.3,39.9,6.0,0.0,0.0,453.9
Haryana,Rewari,2007.0,N.A.,N.A.,N.A.,N.A.,N.A.,60.0,69.7,68.7,95.6,0.0,0.0,0.0,N.A.
Haryana,Rewari,2008.0,N.A.,N.A.,N.A.,N.A.,N.A.,165.0,185.5,112.3,165.7,0.0,0.0,0.0,N.A.
Haryana,Rewari,2009.0,0.0,N.A.,N.A.,N.A.,N.A.,15.8,61.7,38.2,135.3,0.0,N.A.,0.0,N.A.
Haryana,Rewari,2010.0,2.0,0.0,N.A.,0.0,0.0,4.5,148.6,299.1,161.7,0.0,4.8,4.4,625.1
Haryana,Rohtak,2004.0,18.3,0.0,0.0,20.3,36.8,30.5,0.0,242.0,0.0,52.5,0.0,0.0,400.4
Haryana,Rohtak,2005.0,10.2,34.6,51.4,8.5,2.8,32.1,217.1,46.1,205.9,0.0,0.6,0.0,609.3
Haryana,Rohtak,2006.0,1.4,0.0,25.5,0.6,18.6,126.2,99.6,48.6,115.0,0.8,0.0,3.0,439.3
Haryana,Rohtak,2007.0,0.7,53.3,52.0,4.8,32.1,39.2,49.1,84.0,42.2,0.0,0.3,18.9,376.6
Haryana,Rohtak,2008.0,0.0,1.1,0.0,30.7,145.7,85.0,101.9,117.8,83.1,0.0,15.3,0.0,580.6
Haryana,Rohtak,2009.0,1.0,0.1,2.6,55.8,10.1,18.0,81.0,31.3,202.9,0.0,0.2,1.1,404.1
Haryana,Rohtak,2010.0,7.4,13.1,0.0,0.1,0.1,6.0,79.7,204.3,153.7,12.3,0.1,9.3,486.1
Haryana,Sirsa,2004.0,7.6,2.8,0.0,2.5,51.1,99.1,1.7,52.2,1.2,24.9,0.0,3.1,246.2
Haryana,Sirsa,2005.0,15.0,33.4,48.1,0.7,21.4,20.0,78.2,8.8,84.1,0.0,4.1,0.0,313.8
Haryana,Sirsa,2006.0,2.2,0.0,74.0,4.2,36.5,86.6,162.7,9.1,36.4,13.8,4.9,7.5,437.9
Haryana,Sirsa,2007.0,0.0,58.6,10.5,0.6,7.6,144.8,18.2,31.3,29.6,0.0,1.3,3.4,305.9
Haryana,Sirsa,2008.0,5.9,12.6,0.0,18.1,13.3,148.1,9.6,109.7,20.3,1.2,4.7,0.0,343.5
Haryana,Sirsa,2009.0,8.4,11.5,21.0,21.3,13.2,4.4,10.1,9.9,25.2,0.0,1.0,0.3,126.3
Haryana,Sirsa,2010.0,7.3,19.4,3.5,0.2,2.5,35.0,106.2,96.3,120.6,0.0,0.0,5.9,396.9
Haryana,Sonepat,2004.0,26.6,0.0,0.0,12.5,51.8,41.8,10.0,342.5,16.3,102.1,0.0,0.3,603.9
Haryana,Sonepat,2005.0,13.5,34.0,40.2,3.0,2.5,36.5,157.0,44.8,224.2,0.0,0.0,0.0,555.7
Haryana,Sonepat,2006.0,0.0,0.0,10.0,0.0,61.5,37.9,128.3,15.3,53.2,0.0,0.0,0.0,306.2
Haryana,Sonepat,2007.0,0.0,17.0,9.0,0.0,42.0,23.3,92.3,64.3,56.2,0.0,0.0,0.0,304.1
Haryana,Sonepat,2008.0,0.0,0.0,0.0,3.0,41.0,133.1,196.2,272.5,122.3,0.0,23.3,0.0,791.4
Haryana,Sonepat,2009.0,0.0,19.0,12.5,23.3,4.0,18.5,156.1,47.8,301.3,0.0,0.0,0.3,582.8
Haryana,Sonepat,2010.0,5.3,16.3,0.0,0.0,0.0,16.3,227.6,258.3,226.8,7.5,0.0,8.3,766.4
Haryana,Yamunanagar,2004.0,87.5,0.0,0.0,47.7,57.5,75.0,107.8,319.3,34.4,9.0,0.0,4.0,742.2
Haryana,Yamunanagar,2005.0,34.5,48.5,37.5,0.0,3.0,100.5,405.6,110.7,251.6,0.0,0.0,0.0,991.9
Haryana,Yamunanagar,2006.0,11.0,0.0,43.0,0.0,29.0,87.0,325.1,107.3,31.5,0.0,0.0,3.0,636.9
Haryana,Yamunanagar,2007.0,0.0,120.2,77.5,3.0,4.0,93.5,211.3,192.7,22.6,0.0,0.0,4.0,728.8
Haryana,Yamunanagar,2008.0,0.0,4.8,0.0,2.3,0.0,290.8,293.3,177.6,85.3,11.5,0.0,0.0,865.6
Haryana,Yamunanagar,2009.0,3.5,20.5,4.0,20.0,0.0,7.0,159.9,220.7,308.9,6.0,0.0,0.0,750.5
Haryana,Yamunanagar,2010.0,7.0,27.0,0.0,0.0,8.3,25.4,495.4,387.1,437.3,11.0,6.7,28.7,1433.9
