TRDATE,REGION,STATENAME,MODEOFTRANSPORT,STATIONNAME,UTILITY,SECTOR,CAPACITY,NORMATIVESTOCKSREQUIREDINDAYS,DAILYREQUIREMENT,ACTUALSTOCKIMPORT,ACTUALSTOCKINDIGENOUS,ACTUALSTOCKTOTAL,ACTUALSTOCKDAYS,CRITICAL,SUPERCRITICAL,REMARKS
15-Dec-14,EASTERN,ORISSA,PITHEAD,TALCHER (OLD) TPS,NTPC LIMITED.,CENTRAL,460,15,9,0,337,337,39,NA,NA,NA
15-Dec-14,EASTERN,ORISSA,PITHEAD,TALCHER STPS,NTPC LIMITED.,CENTRAL,"3,000",15,57,7,556,563,10,NA,NA,NA
15-Dec-14,NORTHERN,PUNJAB,RAIL,TALWANDI SABO TPP,STERLITE ENERGY LIMITED,IPP,660,25,6,84,11,95,17,NA,NA,NA
15-Dec-14,NORTHERN,PUNJAB,RAIL,RAJPURA TPP,NABHA POWER LTD.,IPP,"1,400",30,15,0,16,16,1,Critical,SuperCritical,NA
15-Dec-14,NORTHERN,PUNJAB,RAIL,GND TPS(BHATINDA),PUNJAB STATE POWER CORP. LTD.,STATE,440,30,7,0,61,61,9,NA,NA,NA
15-Dec-14,NORTHERN,PUNJAB,RAIL,GH TPS (LEH.MOH.),PUNJAB STATE POWER CORP. LTD.,STATE,920,30,14,0,102,102,8,NA,NA,NA
15-Dec-14,NORTHERN,PUNJAB,RAIL,ROPAR TPS,PUNJAB STATE POWER CORP. LTD.,STATE,"1,260",25,20,0,308,308,15,NA,NA,NA
15-Dec-14,NORTHERN,RAJASTHAN,RAIL,CHHABRA TPP,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,"1,000",30,10,0,126,126,13,NA,NA,NA
15-Dec-14,NORTHERN,RAJASTHAN,RAIL,SURATGARH TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,"1,500",30,21,0,194,194,9,NA,NA,NA
15-Dec-14,NORTHERN,RAJASTHAN,RAIL,KOTA TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,"1,240",30,17,0,264,264,16,NA,NA,NA
15-Dec-14,SOUTHERN,TAMIL NADU,INTER MODAL,TUTICORIN TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,"1,050",30,18,14,10,24,1,Critical,SuperCritical,NA
15-Dec-14,SOUTHERN,TAMIL NADU,INTER MODAL,VALLUR TPP,NTPC TAMILNADU ENERGY COMPANY LIMITED,CENTRAL,"1,500",30,19,83,20,103,5,Critical,NA,NA
15-Dec-14,SOUTHERN,TAMIL NADU,INTER MODAL,ENNORE TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,450,30,3,0,22,22,7,NA,NA,NA
15-Dec-14,SOUTHERN,TAMIL NADU,INTER MODAL,NORTH CHENNAI TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,"1,830",30,19,10,102,113,6,Critical,NA,NA
15-Dec-14,SOUTHERN,TAMIL NADU,INTER MODAL,METTUR TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,"1,440",30,16,131,149,280,18,NA,NA,NA
15-Dec-14,NORTHERN,UTTAR PRADESH,RAIL,HARDUAGANJ TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,665,25,9,0,0,0,0,Critical,SuperCritical,NA
15-Dec-14,NORTHERN,UTTAR PRADESH,RAIL,UNCHAHAR TPS,NTPC LIMITED.,CENTRAL,"1,050",25,17,0,0,0,0,Critical,SuperCritical,NA
15-Dec-14,NORTHERN,UTTAR PRADESH,RAIL,PANKI TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,210,20,3,0,1,1,0,Critical,SuperCritical,NA
15-Dec-14,NORTHERN,UTTAR PRADESH,RAIL,PARICHHA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,"1,140",30,14,0,6,6,0,Critical,SuperCritical,NA
15-Dec-14,NORTHERN,UTTAR PRADESH,RAIL,TANDA TPS,NTPC LIMITED.,CENTRAL,440,25,8,0,21,21,2,Critical,SuperCritical,NA
